eid,title,doi,year,journal,all_countries
2-s2.0-0030738295,"Prescribing patterns at primary health care level in the Asir region, Saudi Arabia: An epidemiologic study",10.1002/(SICI)1099-1557(199705)6:3<197::AID-PDS267>3.0.CO;2-V,1997,Pharmacoepidemiology and Drug Safety,Egypt; Saudi Arabia
2-s2.0-0031132618,Tissue concentrations and pharmacokinetics of florfenicol in broiler chickens,,1997,Deutsche Tierarztliche Wochenschrift,Egypt; Saudi Arabia
2-s2.0-4143089079,Some mixed metal complexes of propylene diamine bis(isatin),,1997,Russian Journal of Coordination Chemistry Koordinatsionnaya Khimiya,Egypt; Saudi Arabia
2-s2.0-0031103989,Surface-modified silica gels as solid stationary phases in gas chromatography,10.1016/S0257-8972(96)03084-8,1997,Surface and Coatings Technology,Egypt; Saudi Arabia
2-s2.0-0030618026,Wheat production in Saudi Arabia between feasibility and efficiency,10.1016/S0169-5150(96)01213-3,1997,Agricultural Economics,Egypt; Saudi Arabia
2-s2.0-0031094579,A survey and comparison of wormhole routing techniques in mesh networks,10.1109/65.580917,1997,IEEE Network,Egypt; Saudi Arabia; United Kingdom; United States
2-s2.0-0031040117,Synthesis and reactions of some ethyl 3-aroyl-4-aryl-2-pyrazoline-5-carboxylates,,1997,Pharmazie,Egypt; Saudi Arabia
2-s2.0-0031075138,The gravitational stability of the interface between two electrorheological fluids,10.1006/jcis.1996.4632,1997,Journal of Colloid and Interface Science,Egypt; Saudi Arabia
2-s2.0-0042046653,"Goat warble fly, Przhevalskiana silenus (Brauer), (Diptera: Oestridae) in Saudi Arabia",10.1016/s0921-4488(96)00918-2,1997,Small Ruminant Research,Egypt; Saudi Arabia
2-s2.0-0001490095,Thermal decomposition of ammonium trioxalatoferrate(III) trihydrate in air,10.1016/S0040-6031(96)03015-8,1997,Thermochimica Acta,Egypt; Saudi Arabia
2-s2.0-0030993980,Peripheral BETA-endorphin in Rheumatoid Arthritis. A correlation with the disease activity,10.3109/03009749709115824,1997,Scandinavian Journal of Rheumatology,Egypt; Saudi Arabia
2-s2.0-84906261009,Symbolic computing algorithm for the method of successive approximations for near-parabolic orbits,10.1007/bf03014486,1997,Journal of Applied Mathematics and Computing,Egypt; Saudi Arabia
2-s2.0-0030809040,Ultrasonographic assessment of local steroid injection in Tietze's syndrome,10.1093/rheumatology/36.5.547,1997,British Journal of Rheumatology,Egypt; Saudi Arabia
2-s2.0-0031268507,"Bulk composition of some Saudi Arabian crude oils in relation to maturation, origin and depositional environments",10.1080/10916469708949692,1997,Petroleum Science and Technology,Egypt; Saudi Arabia
2-s2.0-0031071947,Open-boundary finite-element analysis of ionized field around monopolar transmission lines,10.1016/S0304-3886(96)00046-0,1997,Journal of Electrostatics,Egypt; Saudi Arabia
2-s2.0-0030926644,Crimean-Congo haemorrhagic fever virus infection in the Western Province of Saudi Arabia,10.1016/S0035-9203(97)90072-9,1997,Transactions of the Royal Society of Tropical Medicine and Hygiene,Egypt; Saudi Arabia
2-s2.0-0003056988,The relation between surface charges and viscosity in interfacial stability influenced by a periodic electric force,10.1007/pl00001470,1997,Zeitschrift Fur Angewandte Mathematik Und Physik,Egypt; Saudi Arabia
2-s2.0-0030925579,Factorial design and computer optimization of a reconstitutable suspension of erythromycin ethylsuccinate,,1997,Pharmazeutische Industrie,Egypt; Saudi Arabia
2-s2.0-0031018122,Selective spectrophotometric determination of p-aminophenol and acetaminophen,10.1016/S0039-9140(96)02013-9,1997,Talanta,Egypt; Saudi Arabia
2-s2.0-2742595854,On the practical relevance of bifurcation and chaos in chemical and biochemical reaction engineering,10.1142/S0218348X97000437,1997,Fractals,Egypt; Saudi Arabia
2-s2.0-0031481578,Impedance behavior of anodic dissolution of vanadium in sulphuric acid,10.1002/mawe.19970281112,1997,Materialwissenschaft Und Werkstofftechnik,Egypt; Saudi Arabia
2-s2.0-0031250508,Gamma and electron response of coloured cellulose acetate,10.1016/s0141-3910(97)00037-2,1997,Polymer Degradation and Stability,Egypt; Saudi Arabia
2-s2.0-0043265327,Microprocessor based load voltage regulator for photovoltaic systems,10.1016/0196-8904(95)00358-4,1997,Energy Conversion and Management,Egypt; Saudi Arabia
2-s2.0-0008025332,"Scorpion sting syndrome: Epidemiology, clinical presentation and management of 2240 cases",10.26719/1997.3.1.82,1997,Eastern Mediterranean Health Journal,Egypt; Saudi Arabia
2-s2.0-0010557429,Gas-phase decomposition of formic acid over α-Fe2O3 catalysts,10.1023/a:1019083222147,1997,Catalysis Letters,Egypt; Saudi Arabia
2-s2.0-0642308506,Some Mixed Metal Complexes of Propylenediamine-bis(isatin),,1997,Journal of the Indian Chemical Society,Egypt; Saudi Arabia
2-s2.0-0011487134,Discharge Equation for Proposed Self-cleaning Device,10.1016/S1018-3639(18)30664-0,1997,Journal of King Saud University Engineering Sciences,Egypt; Saudi Arabia
2-s2.0-0031412807,Adsorbents for industrial pollution control,10.1177/026361749701501004,1997,Adsorption Science and Technology,Egypt; Saudi Arabia
2-s2.0-0031103822,Multi-item production lot-size inventory model with varying order cost under a restriction: A geometric programming approach,10.1080/095372897235442,1997,Production Planning and Control,Egypt; Saudi Arabia
2-s2.0-0030718569,Detection of Crimean-Congo haemorrhagic fever virus antibodies in humans and imported livestock in Saudi Arabia,10.1016/S0035-9203(97)90014-6,1997,Transactions of the Royal Society of Tropical Medicine and Hygiene,Egypt; Saudi Arabia
2-s2.0-0031076887,A study of the thermal analysis of the solid solution (AgxK1-x)NO3,10.1007/BF01979272,1997,Journal of Thermal Analysis,Egypt; Saudi Arabia
2-s2.0-0030809353,Coastal lowland vegetation of eastern Saudi Arabia,10.1023/A:1018319714993,1997,Biodiversity and Conservation,Egypt; Saudi Arabia
2-s2.0-0041762557,Performance analysis of PV pumping systems using switched reluctance motor drives,10.1016/0196-8904(95)00355-X,1997,Energy Conversion and Management,Egypt; Saudi Arabia
2-s2.0-0030732504,Prevalence of hepatitis C infection and schistosomiasis in Egyptian patients with hepatocellular carcinoma,,1997,Disease Markers,Egypt; Saudi Arabia
2-s2.0-0344601419,Stability - Indicating Method for the Determination of Bromazepam and Deloraxepam Via Proton Magnetic Resonance Spectroscopy,10.1080/00387019708001638,1997,Spectroscopy Letters,Egypt; Saudi Arabia
2-s2.0-0031269848,Synchronisation problem of high performance reluctance motors,10.1049/ip-epa:19971252,1997,IEE Proceedings Electric Power Applications,Egypt; Saudi Arabia
2-s2.0-0031104297,A corrected formula for calculating the resonance practical width as a function of temperature,10.1016/0306-4549(95)00127-1,1997,Annals of Nuclear Energy,Egypt; Saudi Arabia
2-s2.0-0031130999,New integrable problems of motion of a rigid body with a particle oscillating or bouncing in it,10.1016/s0093-6413(97)00020-7,1997,Mechanics Research Communications,Egypt; Saudi Arabia
2-s2.0-0031020346,Seasonal variation and weather effects on road traffic accidents in Riyadh City,10.1038/sj.ph.1900297,1997,Public Health,Egypt; Saudi Arabia
2-s2.0-0031163508,Stochastic generation of annual and monthly evaporation in Saudi Arabia,10.4296/cwrj2202141,1997,Canadian Water Resources Journal,Egypt; Saudi Arabia
2-s2.0-0042262957,Microprocessor based control of photovoltiac cathodic protection system,10.1016/0196-8904(95)00357-6,1997,Energy Conversion and Management,Egypt; Saudi Arabia
2-s2.0-0001197886,Electroviscoelastic Rayleigh-Taylor instability of Kelvin fluids. Effect of a constant tangential electric field,10.1016/S0169-5983(96)00052-4,1997,Fluid Dynamics Research,Egypt; Saudi Arabia
2-s2.0-2542574918,"A Convenient Synthesis of Thiophene, 1, 3-Thiazole, 2,3-Dihydro-1,3,4-thiadiazole and Pyrazole Derivatives",10.1039/a700067g,1997,Journal of Chemical Research Part S,Egypt; Saudi Arabia
2-s2.0-0031233752,Developing laminar flow in eccentric annuli,10.1115/1.2819307,1997,Journal of Fluids Engineering Transactions of the ASME,Egypt; Saudi Arabia
2-s2.0-0030654710,Surface and catalytic properties of SnO2-Cr2O3 catalysts,10.1177/026361749701500307,1997,Adsorption Science and Technology,Egypt; Saudi Arabia
2-s2.0-0030799789,Chromosomal criteria and taxonomic relationships in the solanaceae,10.1508/cytologia.62.103,1997,Cytologia,Egypt; Saudi Arabia
2-s2.0-0037634064,Microprocessor-based overcurrent protection for PV powered air-conditioning system,10.1016/0196-8904(95)00356-8,1997,Energy Conversion and Management,Egypt; Saudi Arabia
2-s2.0-5544300150,Numerical model of gas flow in solid-propellant rocket motors,10.1080/02286203.1997.11760335,1997,International Journal of Modelling and Simulation,Egypt; Saudi Arabia; United Kingdom; United States
2-s2.0-10844281172,Statistical circuit design with the use of a modified ellipsoidal technique,10.1002/(sici)1522-6301(199701)7:1<117::aid-mmce8>3.3.co;2-5,1997,International Journal of RF and Microwave Computer Aided Engineering,Canada; Egypt; Saudi Arabia
2-s2.0-0030898389,Heterogeneity of the mechanisms underlying activation of adenylate cyclase by endothelin-1 in rabbit and bovine iris sphincter and tracheal smooth muscles,,1997,Saudi Pharmaceutical Journal,Egypt; Saudi Arabia
2-s2.0-0031078820,Nonlinear Model Predictive Control of Industrial Type IV Fluid Catalytic Cracking (FCC) Units for Maximum Gasoline Yield,10.1021/ie9603575,1997,Industrial and Engineering Chemistry Research,Egypt; Saudi Arabia; United Arab Emirates
2-s2.0-1642562092,"Biostratigraphical analysis of the Lower Paleogene succession in the North-Central Sinai, Egypt",10.1127/njgpa/204/1997/321,1997,Neues Jahrbuch Fur Geologie Und Palaontologie Abhandlungen,Egypt; Saudi Arabia; United Arab Emirates
2-s2.0-84857763765,Maximization of styrene yield from the catalytic dehydrogenation of ethylbenzene in fixed and fluidized bed configurations with and without selective membranes,,1997,World Petroleum Congress Proceedings,Egypt; Malaysia; Saudi Arabia; United Arab Emirates
2-s2.0-0030666436,"Antigenic variation of core, NS3, and NS5 proteins among genotypes of hepatitis C virus",10.1128/jcm.35.12.3062-3070.1997,1997,Journal of Clinical Microbiology,Egypt; Saudi Arabia; United Kingdom
2-s2.0-0032534372,"A case study of RO plant failure due to membrane fouling, analysis and diagnosis",10.1016/S0011-9164(98)00207-0,1998,Desalination,Egypt; Saudi Arabia
2-s2.0-0002411512,Kinetic and thermodynamic studies of the non-isothermal decompositions of nickel malonate dihydrate and nickel hydrogen malonate dihydrate,10.1016/s0040-6031(98)00492-4,1998,Thermochimica Acta,Egypt; Saudi Arabia
2-s2.0-0032023651,Improved calculation of finite-element analysis of bipolar corona including ion diffusion,10.1109/28.663472,1998,IEEE Transactions on Industry Applications,Egypt; Saudi Arabia
2-s2.0-2442557454,Clinical prediction rule for pulmonary infiltrates,,1998,Saudi Medical Journal,Egypt; Saudi Arabia
2-s2.0-0032091916,The electron affinity difference in CdS/CdTe solar cells,,1998,Proceedings of the Indian Academy of Sciences Chemical Sciences,Egypt; Saudi Arabia
2-s2.0-0032441776,The effect of endoscopic sinus surgery on mucociliary clearance in patients with chronic sinusitis,10.1007/s004050050109,1998,European Archives of Oto Rhino Laryngology,Egypt; Saudi Arabia
2-s2.0-0032037460,Synthesis and biological evaluation of certain new thiazolopyrimidines,,1998,Bollettino Chimico Farmaceutico,Egypt; Saudi Arabia
2-s2.0-0032263568,Catalytic decomposition of sec-butanol over Fe2(MoO4)3 catalysts,,1998,Oxidation Communications,Egypt; Saudi Arabia
2-s2.0-0032273465,Use of migroorganisms for improvement of Egyptian kaolins ceramic properties,,1998,Industrial Ceramics,Egypt; Saudi Arabia
2-s2.0-0342362470,Comparison of modelling and simulation results for single and twin-shaft gas turbine engines,,1998,International Journal of Power and Energy Systems,Egypt; Saudi Arabia; United Kingdom
2-s2.0-0031732373,"Effect of Cremophor EL on the pharmacokinetics, antitumor activity and toxicity of doxorubicin in mice",10.1097/00001813-199810000-00011,1998,Anti Cancer Drugs,Egypt; Saudi Arabia
2-s2.0-0032213776,Electroviscoelastic instability of a Kelvin fluid layer influenced by a periodic electric force,10.1006/jcis.1998.5710,1998,Journal of Colloid and Interface Science,Egypt; Saudi Arabia
2-s2.0-0031707081,Urinary bladder bilharziasis as a cause of impaired bladder muscle contractility,10.1002/(SICI)1520-6777(1998)17:5<483::AID-NAU4>3.0.CO;2-9,1998,Neurourology and Urodynamics,Egypt; Saudi Arabia
2-s2.0-28644433246,HPLC determination of glibenclamide and its two impurities,10.1111/j.2042-7158.1998.tb02250.x,1998,Journal of Pharmacy and Pharmacology,Egypt; Saudi Arabia
2-s2.0-79954605255,Determination of sennosides A and B in tablets: Comparison between a proposed HPLC procedure and the USP fluorimetric method,10.1111/j.2042-7158.1998.tb02292.x,1998,Journal of Pharmacy and Pharmacology,Egypt; Saudi Arabia
2-s2.0-0031720379,Carcinoma of the uterine cervix in Saudi Arabia: Experience in the management of 164 patients with stage-I and -II disease,10.1016/S0360-3016(98)00166-7,1998,International Journal of Radiation Oncology Biology Physics,Egypt; Saudi Arabia
2-s2.0-0032503860,New integrable problems of motion of a rigid body acted upon by nonsymmetric electromagnetic forces,10.1088/0305-4470/31/27/012,1998,Journal of Physics A Mathematical and General,Egypt; Saudi Arabia
2-s2.0-0031774665,Pharmacological role of vascular endothelium,,1998,Saudi Pharmaceutical Journal,Egypt; Saudi Arabia
2-s2.0-0000246378,Effect of hydrothermal treatment and ammonium ion incorporation in platinum-mordenite catalysis for n-hexane hydroconversion,10.1016/S0926-860X(98)00057-X,1998,Applied Catalysis A General,Egypt; Saudi Arabia
2-s2.0-0032526501,Oral administration of liposomes containing cyclosporine: A pharmacokinetic study,10.1016/S0378-5173(98)00066-0,1998,International Journal of Pharmaceutics,Egypt; Saudi Arabia
2-s2.0-0032580741,Determination of ethylenediaminetetraacetic acid (EDTA) in pharmaceutical dosage forms using flame atomic absorption spectroscopy,10.1016/S0014-827X(98)00026-3,1998,Farmaco,Egypt; Saudi Arabia
2-s2.0-0032076690,Diterpene acids from Conyza incana,10.1016/S0031-9422(97)00687-0,1998,Phytochemistry,Egypt; Saudi Arabia
2-s2.0-0039528685,Quantum statistics of three modes coupled oscillators,10.1088/0305-4470/31/14/003,1998,Journal of Physics A Mathematical and General,Egypt; Saudi Arabia
2-s2.0-84911412038,"The prevalence of indices of hepatitis C and B infection, and elevated aminotransferase enzymes in patients with oral lichen planus (OLP) in eastern Saudi Arabia",,1998,Journal of Family and Community Medicine,Egypt; Saudi Arabia
2-s2.0-0000832594,Novel wholly aromatic polyamide-hydrazides - VII. Metallization of polymers through transition metal complexation,,1998,European Polymer Journal,Egypt; Saudi Arabia
2-s2.0-0032436719,Short term use of intracavernous vasoactive drugs in the treatment of persistent psychogenic erectile dysfunction,10.1038/sj.ijir.3900353,1998,International Journal of Impotence Research,Egypt; Saudi Arabia
2-s2.0-0032440561,Poisoning problem in Jeddah Region,10.5144/0256-4947.1998.460,1998,Annals of Saudi Medicine,Egypt; Saudi Arabia
2-s2.0-0032260097,Synthetic reactions of coumarin-3-(4-aminosulfonyl)-carbanilide derivatives with reactive methylene compounds,10.1080/10426509808035678,1998,Phosphorus Sulfur and Silicon and Related Elements,Egypt; Saudi Arabia
2-s2.0-7344243784,Acute abdomen in pregnancy: Are tocolytics and early surgical intervention justified?,10.5144/0256-4947.1998.181,1998,Annals of Saudi Medicine,Egypt; Saudi Arabia
2-s2.0-0031947936,Epidural ketamine reduces post-operative epidural PCA consumption of fentanyl/bupivacaine,10.1007/BF03013246,1998,Canadian Journal of Anaesthesia,Egypt; Saudi Arabia
2-s2.0-0032000789,Analysis of corona losses on monopolar dc transmission lines,10.1016/s0378-7796(97)01196-6,1998,Electric Power Systems Research,Egypt; Saudi Arabia
2-s2.0-0032136178,Composite zeolites synthesized from (TEA)2O-Na2O-Al2O3-SiO 2-H2O system : Structural characteristics and hydration activity,10.1080/10916469808949813,1998,Petroleum Science and Technology,Egypt; Saudi Arabia
2-s2.0-0031799739,"Childhood epidemiology of hepatitis a virus in Riyadh, Saudi Arabia",10.5144/0256-4947.1998.18,1998,Annals of Saudi Medicine,Egypt; Saudi Arabia
2-s2.0-0031814588,The relation between pre-eclampsia and chemical constituents of drinking waters in Saudi Arabia,,1998,Saudi Medical Journal,Egypt; Saudi Arabia
2-s2.0-0031651897,Hydration of butene-1 over H-mordenite and H-mordenite composited with zeolite-β,10.1080/10916469808949771,1998,Petroleum Science and Technology,Egypt; Saudi Arabia
2-s2.0-0345411288,Estimating Hazen-Williams coefficient for polyethylene pipes,10.1061/(ASCE)0733-947X(1998)124:2(197),1998,Journal of Transportation Engineering,Egypt; Saudi Arabia
2-s2.0-0032415325,Properties and purification of 42 KDa lipase subunit from germinating linseeds,,1998,Arab Gulf Journal of Scientific Research,Egypt; Saudi Arabia
2-s2.0-0032291388,Thermal and electrical behaviour of radiation vulcanized EPDM/Al2O3 composites,10.1016/S0141-3910(98)00045-7,1998,Polymer Degradation and Stability,Egypt; Saudi Arabia
2-s2.0-0032115703,Liquefaction of cellulosic wastes VI. Oxygen compounds in pyrolytic oil and water fractions,10.1080/00908319808970076,1998,Energy Sources,Egypt; Saudi Arabia
2-s2.0-33947585960,Gas saturation detection model applied to heterogeneous reservoir using TDT,,1998,SPWLA 39th Annual Logging Symposium 1998,Egypt; Saudi Arabia
2-s2.0-0346937909,Nutritional performance of Damascus and Jamnapari crossbred growing male goats,10.1016/s0921-4488(97)00063-1,1998,Small Ruminant Research,Egypt; Saudi Arabia
2-s2.0-0032127340,Vitamin C attenuation of the development of type I diabetes mellitus by interferon-α,10.1006/phrs.1998.0323,1998,Pharmacological Research,Egypt; Saudi Arabia
2-s2.0-0031905168,Development and in-vitro evaluation of sustained-release meclofenamic acid microspheres,10.3109/02652049809006845,1998,Journal of Microencapsulation,Egypt; Saudi Arabia
2-s2.0-0032138803,Occurrence and distribution of vanadyl porphyrins in Saudi Arabian crude oils,10.1016/S0378-3820(98)00068-X,1998,Fuel Processing Technology,Egypt; Saudi Arabia
2-s2.0-0032046610,"Electrical conductivities and dielectric constants of some sodium tetraborate glasses containing CuO, irradiated with a low-level fast neutron beam",10.1023/A:1004377910358,1998,Journal of Materials Science,Egypt; Saudi Arabia
2-s2.0-78650594127,Static and Dynamic Characterization of P-N Junction Solar Cells,10.1016/S1018-3639(18)30695-0,1998,Journal of King Saud University Engineering Sciences,Egypt; Saudi Arabia
2-s2.0-16444366536,The fuzzy normal subgroup,10.1016/S0165-0114(96)00338-7,1998,Fuzzy Sets and Systems,Egypt; Saudi Arabia
2-s2.0-0009673065,Stability-Indicating Methods for the Determination of Cimetidine Using Derivative and Fourier-Transform Infrared Spectrophotometry,10.1080/00387019808001649,1998,Spectroscopy Letters,Egypt; Saudi Arabia
2-s2.0-11544313429,Stochastic analysis of a two-unit warm standby system with slow switch subject to hardware and human error failures,10.1016/S0026-2714(97)00209-6,1998,Microelectronics Reliability,Egypt; Saudi Arabia
2-s2.0-0032114794,A new integrable problem in the dynamics of rigid bodies,10.1016/s0093-6413(98)00050-0,1998,Mechanics Research Communications,Egypt; Saudi Arabia
2-s2.0-0031815028,Bioadhesive matrix as controlled release dosage form for verapamil hydrochloride. Effect of the types and percentages of polymers on the release profile of the drug,,1998,Pharmazeutische Industrie,Egypt; Saudi Arabia
2-s2.0-0031864654,Recent advances in pharmaceutical applications of solid-phase synthesis,,1998,Saudi Pharmaceutical Journal,Egypt; Saudi Arabia
2-s2.0-0031623111,Free convection in vertical eccentric annuli with a uniformly heated boundary,10.1108/09615539810220243,1998,International Journal of Numerical Methods for Heat and Fluid Flow,Egypt; Saudi Arabia
2-s2.0-0032380051,On the hypercenter and hyperquasicenter of a finite group,,1998,Arabian Journal for Science and Engineering,Egypt; Saudi Arabia
2-s2.0-0032027730,On the chaotic behavior of externally forced industrial fluid catalytic cracking units,10.1016/S0960-0779(97)00088-X,1998,Chaos Solitons and Fractals,Egypt; Saudi Arabia
2-s2.0-0031712785,Static pressure drop through barley grain,,1998,Arab Gulf Journal of Scientific Research,Egypt; Saudi Arabia
2-s2.0-0032005106,Distribution and phase association of some major and trace elements in the Arabian Gulf sediments,10.1006/ecss.1997.0278,1998,Estuarine Coastal and Shelf Science,Egypt; Saudi Arabia
2-s2.0-0031997535,The a.c. conductivity of CuO-containing lead silicate glasses,10.1023/A:1008836717354,1998,Journal of Materials Science Materials in Electronics,Egypt; Saudi Arabia
2-s2.0-0032245859,"Synthesis, conformational analysis and antitumor testing of 5-(Z)-arylidene-4-imidazolidinone derivatives",10.1080/10426509808035741,1998,Phosphorus Sulfur and Silicon and Related Elements,Egypt; France; Saudi Arabia
2-s2.0-0032046874,Oil recovery from tarmat reservoirs using hot water and solvent flooding,10.2118/98-04-03,1998,Journal of Canadian Petroleum Technology,Egypt; Saudi Arabia
2-s2.0-33847244040,Salt effects on reactivities of low-spin iron(II) complexes of diazabutadiene and Schiff base ligands,10.1023/A:1006914024862,1998,Transition Metal Chemistry,Egypt; Saudi Arabia
2-s2.0-33847244415,Attenuation of substituent effects on reactivities of low-spin iron(II) complexes of Schiff base ligands,10.1023/A:1006918125771,1998,Transition Metal Chemistry,Egypt; Saudi Arabia
2-s2.0-33749537068,Influence of substrate temperature on the electrical behaviour of zinc stannate thin films deposited by electron beam evaporation technique,10.1007/BF03036604,1998,Nuovo Cimento Della Societa Italiana Di Fisica D Condensed Matter Atomic Molecular and Chemical Physics Biophysics,Egypt; Saudi Arabia; United Kingdom
2-s2.0-0032021444,New class of rectangular and circular evanescent-mode waveguide filter,10.1002/(SICI)1099-047X(199803)8:2<161::AID-MMCE9>3.0.CO;2-Q,1998,International Journal of RF and Microwave Computer Aided Engineering,Egypt; France; Saudi Arabia
2-s2.0-33745568363,"Prevalence of coxsackieviruses among healthy populations and ophthalmic disease patients in the Eastern Province, Saudi Arabia",,1999,Saudi Medical Journal,Egypt; Saudi Arabia
2-s2.0-0033357988,The long term effects of unilateral corneal scars,10.1023/A:1002047913358,1999,Documenta Ophthalmologica,Egypt; Saudi Arabia
2-s2.0-0039846256,Conductimetric determination of some pharmaceutically important 4-quinolone derivatives in dosage forms,,1999,Chemia Analityczna,Egypt; Saudi Arabia
2-s2.0-0033302462,Clinical and histological effect of a single treatment of normal mode alexandrite (755 nm) laser on small melanocytic nevi,10.1080/14628839950516698,1999,Journal of Cosmetic and Laser Therapy,Egypt; Saudi Arabia
2-s2.0-33747366699,A comparative study on the starting methods of three phase wound-rotor induction motors,,1999,IEEE Power Engineering Review,Egypt; Saudi Arabia
2-s2.0-0033317064,A comparative study on the starting methods of three phase wound-rotor induction motors - Part I,10.1109/60.815008,1999,IEEE Transactions on Energy Conversion,Egypt; Saudi Arabia
2-s2.0-84886812864,Transient analysis of a two speed synchronous induction motor,10.1109/IEMDC.1999.769114,1999,IEEE International Electric Machines and Drives Conference Iemdc 1999 Proceedings,Egypt; Saudi Arabia
2-s2.0-0001844699,Stabilization of plasma membrane by polyamines against salt stress,,1999,Cytobios,Egypt; Saudi Arabia
2-s2.0-0033494854,Inhibition of calcium ionophore-stimulated leukotriene generation from intact human neutrophils by captopril,,1999,Research Communications in Molecular Pathology and Pharmacology,Egypt; Saudi Arabia
2-s2.0-0040034517,On an analogy between elastic instability and nuclear explosives,,1999,Mechanics and Mechanical Engineering,Egypt; Saudi Arabia; United Kingdom
2-s2.0-9344254348,The fuzzy topological spaces on a fuzzy space,10.1016/S0165-0114(97)00308-4,1999,Fuzzy Sets and Systems,Egypt; Saudi Arabia
2-s2.0-0033511525,Corneal haze among blue eyes and brown eyes after photorefractive keratectomy,10.1016/S0161-6420(99)90507-9,1999,Ophthalmology,Egypt; Saudi Arabia
2-s2.0-0032716515,Immunogenicity study for Tetra and Penta component vaccines in infants,,1999,Saudi Medical Journal,Egypt; Saudi Arabia
2-s2.0-0033509831,Effect of taxol on the expression of transforming growth factor beta-1 in Ehrlich ascites carcinoma cells,,1999,Saudi Pharmaceutical Journal,Egypt; Saudi Arabia
2-s2.0-0033208747,Presumed periorbital lupus vulgaris with ocular extension,10.1016/S0161-6420(99)90413-X,1999,Ophthalmology,Egypt; Saudi Arabia
2-s2.0-0032692901,Spectrophotometric determination of cimetidine in dosage forms using chloranilic acid,,1999,Saudi Pharmaceutical Journal,Egypt; Saudi Arabia
2-s2.0-0033618095,Flavan-3-ols and prodelphinidins from Catha edulis,,1999,Scientia Pharmaceutica,Egypt; Saudi Arabia
2-s2.0-0042912074,Effect of electrolytes on the hydrodynamic behaviour in a batch packed bubble column,,1999,Chemical and Biochemical Engineering Quarterly,Egypt; Saudi Arabia
2-s2.0-0033553263,Quantum statistical properties of nondegenerate optical parametric symmetric coupler,10.1088/0305-4470/32/19/301,1999,Journal of Physics A Mathematical and General,Egypt; Saudi Arabia
2-s2.0-0033136424,Microbial metabolism of artemisitene,10.1016/S0031-9422(98)00770-5,1999,Phytochemistry,Egypt; Saudi Arabia
2-s2.0-0033098656,Calculation of magnetic fields from electric power transmission lines,10.1016/s0378-7796(98)00078-9,1999,Electric Power Systems Research,Egypt; Saudi Arabia
2-s2.0-0032940727,Quantitative structure-activity relationship of a series of N-aryl O- aryl phosphoramidate insecticides,10.1897/1551-5028(1999)018<0167:QSAROA>2.3.CO;2,1999,Environmental Toxicology and Chemistry,Egypt; Saudi Arabia
2-s2.0-0033524585,New integrable problems of motion of a particle in the plane under the action of potential and conservative zero-potential forces,10.1088/0305-4470/32/5/015,1999,Journal of Physics A Mathematical and General,Egypt; Saudi Arabia
2-s2.0-0033075455,Hydroconversion of n-Hexane on Pt / Mordenite Catalysts,,1999,Erdoel Erdgas Kohle,Egypt; Saudi Arabia
2-s2.0-0032636802,Large signal analysis of linearized electrooptic modulators,,1999,AEU Archiv Fur Elektronik Und Ubertragungstechnik,Egypt; Saudi Arabia
2-s2.0-0007871922,Synthesis and bioactivity of 0-ethyl phosphorodiamidates derived from quinazolin-4-ones and either amino acid esters or fatty amines,10.1002/(SICI)1098-1071(1999)10:6<455::AID-HC3>3.0.CO;2-9,1999,Heteroatom Chemistry,Egypt; Saudi Arabia
2-s2.0-0033090146,Radiofrequency bipolar submucosal diathermy of the inferior turbinates,10.2500/105065899782106715,1999,American Journal of Rhinology,Egypt; Saudi Arabia
2-s2.0-0033379794,Inhibition of benzo(a)pyrene-induced forestomach carcinogenesis in mice by thymoquinone,10.1097/00008469-199910000-00009,1999,European Journal of Cancer Prevention,Egypt; Saudi Arabia
2-s2.0-0033393973,Treatment of acute bacterial conjunctivitis with topical lomefloxacin 0.3% compared to topical ofloxacin 0.3%,10.1177/112067219900900403,1999,European Journal of Ophthalmology,Egypt; Saudi Arabia
2-s2.0-0032751697,Empty sella syndrome: Does it exist in children?,10.3171/jns.1999.91.6.0960,1999,Journal of Neurosurgery,Egypt; Saudi Arabia
2-s2.0-0033080020,"Aromatic 1,3,4-oxadiazoles as thermal stabilizers for rigid poly(vinyl chloride)",10.1016/S0032-3861(98)00260-2,1999,Polymer,Egypt; Saudi Arabia
2-s2.0-0032887079,"Synthesis and reactions of some new 5-aryl-3-oxo-7-(4'-aryl-2',5'-dioxo- 1',2',3,'4'-tetrahydrofluoren-3'-yl)-5h, 8h-2,3-dihydrothiazolo[5,4- b]pyrimidines of expected biological activity",,1999,Indian Journal of Chemistry Section B Organic and Medicinal Chemistry,Egypt; Saudi Arabia
2-s2.0-0033102643,An experimental investigation of the near-field region of free turbulent round central and annular jets,10.1016/S0955-5986(98)00042-9,1999,Flow Measurement and Instrumentation,Egypt; Saudi Arabia
2-s2.0-0032606802,Role of the acidic-basic characters of some metal oxides in the pyrolysis of ammonium perchlorate,10.1023/A:1010129732656,1999,Journal of Thermal Analysis and Calorimetry,Egypt; Saudi Arabia
2-s2.0-0033102637,An experimental investigation of the near-field region of a free turbulent coaxial jet using LDA,10.1016/S0955-5986(98)00041-7,1999,Flow Measurement and Instrumentation,Egypt; Saudi Arabia
2-s2.0-0033560544,Technical note a new optimizing technique for preparing lineament density maps,10.1080/014311699212858,1999,International Journal of Remote Sensing,Egypt; Saudi Arabia
